СВТ (fix);89971;2,5;1,5;1,5(5);
Россия (mob) - Билайн - MNP;800199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800299;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800799;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;800999;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801099;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801299;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801799;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;801999;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802099;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802299;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802799;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;802999;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803099;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803299;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803799;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;803999;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804099;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804299;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804799;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;804899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805099;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805799;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;805999;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806099;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806299;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806799;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;806999;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807099;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807199;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807299;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807399;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807499;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807599;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807699;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807899;2,5;1,92;1,84(6);
Россия (mob) - Билайн - MNP;807999;2,5;1,92;1,84(6);